Time,Solana Market Cap,Binance Market Cap,Cronos Market Cap,Ethereum Market Cap,Fantom Market Cap,Polymath Market Cap,Tron Market Cap,XRP Market Cap
2020-04-11,6173607.678345317,2087481774.1363173,712703263.8113205,17489565908.771362,7003353.754258023,11456504.619795823,825728835.0838466,8293802411.695811
2020-04-12,7269680.447445141,2178116505.78815,717469000.7533438,17790409219.818943,7166471.832084037,11758878.44974634,848837504.1180795,8265151211.275384
2020-04-13,6302364.150584625,2272857627.6622605,708725076.1342885,17316641314.145325,7273139.577336789,11271639.452735355,837750467.1959045,8299611707.552383
2020-04-14,5306221.06575891,2357467179.205417,712480049.2810273,17559917949.258163,6952162.906316634,11798339.000978014,824065705.0953989,8202409954.834599
2020-04-15,5114653.932636794,2207839720.3607697,686741441.0425711,16933905371.155537,6393184.760430079,11363660.750644334,808623819.9192725,8011761733.297829
2020-04-16,5505929.486978686,2369647148.5940456,717644313.0045848,18989526634.23506,6663559.34265931,12059938.309860531,859658502.2318186,8313796758.115251
2020-04-17,5348323.975349362,2370773171.7872663,713471091.8571157,18844786940.26037,6799327.135633769,11987143.579666596,856276371.7335639,8333268489.325
2020-04-18,5423066.285864263,2448080536.0223794,736508281.6243502,20686869606.075146,6987999.190802434,12535022.875395536,883011411.98262,8564164034.737875
2020-04-19,4844617.211182358,2377982679.590395,724040524.5586725,19894212517.44348,6853934.870738504,12132942.661514526,855994395.7789804,8376547767.92359
2020-04-20,4285479.154681022,2228118491.7570333,692982554.2256898,18894679854.84961,6400854.473023008,11309419.295688638,823620407.8948112,8086477705.570027
2020-04-21,4591546.761226098,2232531184.047116,682260062.5969652,18883297426.60788,6373727.283252016,11412588.082910664,826981631.3481405,8074284895.834148
2020-04-22,5446538.173850838,2319816863.694298,713521231.2228032,20165266729.19022,6622437.480897528,12085239.95436167,858838220.4539024,8275159764.626271
2020-04-23,4909586.999036558,2353229636.8727207,739954502.439997,20371607313.859978,6604792.478498657,12157282.466793353,892018386.7244908,8382250197.926455
