Time,Solana Volume,Binance Volume,Cronos Volume,Ethereum Volume,Fantom Volume,Polymath Volume,Tron Volume,XRP Volume
2020-04-11,49458692.875224,379071140.06073177,6679442.46412523,11128989594.360975,2339507.926205394,1217370.9756632475,1101729960.9806812,1781001895.317215
2020-04-12,37821009.95560236,404979912.8145258,6662410.609087706,13002801329.50846,1684559.4575972836,1555734.138603391,1092809787.553104,2018968368.000913
2020-04-13,19579214.89293177,415375272.6500968,5896745.775604356,13286483792.048328,1955904.7766010216,1867479.3550503063,1297978650.360005,2228364721.4187016
2020-04-14,17523533.049867075,431913949.0107081,5457073.170049207,11468431211.774742,1698654.8289067708,2018465.82191444,1297749008.239287,1862120141.679969
2020-04-15,12659541.408408836,393386119.4912864,5023388.47270423,8578826590.313573,1657414.6088514344,1645990.479378543,1278330888.116773,1937688979.9904425
2020-04-16,23132895.9095158,414415761.3632847,6062427.655356409,17430629608.3789,1605080.6146786455,1747737.8165473342,1535380776.8512225,2619561036.3051047
2020-04-17,10227034.752456626,416729931.6338204,9613611.043389885,15220772945.895311,1700188.5128239663,1039369.9911443992,1357117165.0530806,1866168812.0107803
2020-04-18,10199318.163159857,414857231.9136506,4673310.721902505,14284812698.801844,1203984.620525438,1657955.7578205047,1435699764.8636675,1914325546.147416
2020-04-19,9789186.730548004,413369977.709689,3870862.8333430574,13763176713.456297,1261271.149708131,1413045.8546161656,1344244828.7830582,1849385510.2163615
2020-04-20,8763891.031037511,377680441.7872772,4699614.587981327,15901061387.704432,1420097.0211007723,1652051.4314197665,1400759954.721906,2266839384.9033456
2020-04-21,9610841.993019182,304659694.1730378,14121948.76923401,12178214643.078756,1750613.5013619007,1686290.0133140385,1334220068.7724853,1826836936.6230843
2020-04-22,18146790.14448149,372342615.9260412,6870697.032453438,14853382137.991043,1620845.0688528817,1937433.440934736,1346847345.1322885,1760936753.9293184
2020-04-23,13659849.485801896,214383568.26007268,6694875.820918009,6903118239.477871,1372078.945188815,1982852.0622646129,1463705582.7729528,2284073444.0555773
2020-04-24,8959427.13964603,347741153.1115197,5526113.179269111,13419651870.125168,1728332.5602061911,1951553.42735865,1624977158.849541,1858298807.3877127
2020-04-25,7324961.274114759,357506648.81549746,4530993.916116827,14452583265.89944,1573438.0898669616,1378943.481903802,1579120151.7766204,1645169648.3148117
2020-04-26,8493459.048447348,372633462.4635326,4440080.858120754,13530756223.951258,2502383.791845407,1350065.3626515938,1490117444.3268948,1670524318.453444
2020-04-27,7534010.521157354,382565165.0994733,18123039.689676844,17659706480.60195,4384304.676123465,1288698.033394395,1525174714.6222985,1707500454.9858208
2020-04-28,7387289.032147021,380017273.227351,8587689.565886833,14644384537.090769,1811144.838981849,1366941.876421127,1603853811.1034322,2539833760.635142
2020-04-29,8964597.270530097,458695909.0023823,9602775.1537121,20966892392.04868,3002201.2499987227,4617677.322939487,1822420893.855773,3099767025.4387383
2020-04-30,5182978.537733341,487612724.2536601,10144575.396685392,23630952297.4432,3200699.3423995115,2232365.9853558973,1751598144.3965545,3081128998.8249784
2020-05-01,4174109.6429038513,454273601.33557147,8141448.632500843,17137878522.355495,2119280.252369261,5070769.529739723,1696419825.605757,2290295884.770336
